GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,55.1450005
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,23.8150005
GILD,Gilead Sciences,Health Care,Biotechnology,,20.8050005
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,40.9749985
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,14.4700002857
STT,State Street Corp.,Financials,Diversified Financial Services,,64.870003
STT,State Street Corp.,Financials,Diversified Financial Services,,72.029999
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,33.4350015
BSX,Boston Scientific,Health Care,Health Care Equipment,,5.91
GILD,Gilead Sciences,Health Care,Biotechnology,,37.7750015
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,27.448
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,332.390015
GILD,Gilead Sciences,Health Care,Biotechnology,,18.365
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,13.16
STT,State Street Corp.,Financials,Diversified Financial Services,,67.269997
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,9.7342852857
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,104.349998
GILD,Gilead Sciences,Health Care,Biotechnology,,89.629997
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,51.599998
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,18.209999
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,14.32
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,26.0200005
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,22.55750075
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,9.03714271428
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,66.6070023
BSX,Boston Scientific,Health Care,Health Care Equipment,,6.02
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,80.120003
STT,State Street Corp.,Financials,Diversified Financial Services,,34.869999
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,71.540001
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,80.360001
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,17.022499
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,56.8219986
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,25.5580006
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,18.049999
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,98.07
BSX,Boston Scientific,Health Care,Health Care Equipment,,14.46
GILD,Gilead Sciences,Health Care,Biotechnology,,105.959999
GILD,Gilead Sciences,Health Care,Biotechnology,,107.989998
GILD,Gilead Sciences,Health Care,Biotechnology,,40.400002
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,59.080002
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,31.86499975
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,29.9750005
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,78.830002
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,36.897499
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,351.850006
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,98.360001
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,25.3570004
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,13.8800001428
STT,State Street Corp.,Financials,Diversified Financial Services,,79
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,74.849998
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,57.220001
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,95.239998
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,62.8499984285
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,54.490002
STT,State Street Corp.,Financials,Diversified Financial Services,,79.379997
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,31.73
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,35.3779984
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,52.3349991
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,647.809998
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,43.5680008
BSX,Boston Scientific,Health Care,Health Care Equipment,,7.64
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,21.2450008
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,52.990002
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,50.46749875
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,24.995001
STT,State Street Corp.,Financials,Diversified Financial Services,,63.68
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,16.15
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,69.459999
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,14.1285715714
GILD,Gilead Sciences,Health Care,Biotechnology,,18.120001
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,45.32
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,97.900002
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,218.110001
STT,State Street Corp.,Financials,Diversified Financial Services,,68.989998
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,8.64000028571
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,14.18
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,20.219999
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,55.41
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,252.550003
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,23.370001
BSX,Boston Scientific,Health Care,Health Care Equipment,,5.5
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,675.890015
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,366.179993
STT,State Street Corp.,Financials,Diversified Financial Services,,46.18
NVDA,Nvidia Corporation,Information Technology,Semiconductors,,10.32
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,2016-04-25,34.720001
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,14.5814285714
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,2010-12-20,18.115715
BSX,Boston Scientific,Health Care,Health Care Equipment,,18.42
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,43.509998
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,59.93
STT,State Street Corp.,Financials,Diversified Financial Services,,32.470001
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,119.660004
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,425.470001
GILD,Gilead Sciences,Health Care,Biotechnology,,57.34
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,61.0610008
MA,Mastercard Inc.,Information Technology,Internet Software & Services,2008-07-18,31.2759991
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,265.5
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,285.570007
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,56.060001
